question,topic,care_setting,population,document_id,reference_answer,QuestionId
Blood sugar is high — daily habits besides pills?,chronic_disease,primary_care,adult,doc_chr_001,"Balanced meals, physical activity, and glucose monitoring as directed.",38
Diarrhoea red flags in children?,infectious_disease,community,child,doc_inf_003,"Blood in stool, persistent vomiting, or severe dehydration signs.",39
Child stunting risk — clinic prevention?,nutrition,primary_care,child,doc_nut_003,"Growth monitoring, varied diet, and programme micronutrient support.",40
Six-week-old warm to touch — wait or go in?,emergency_triage,hospital,infant,doc_emg_001,Any fever under three months needs urgent paediatric assessment.,41
First pregnancy — how often clinic visits?,maternal_health,primary_care,pregnant,doc_mat_001,At least eight antenatal contacts with routine screening.,42
Lifestyle steps for high blood pressure?,chronic_disease,primary_care,adult,doc_chr_002,"Reduce salt, keep healthy weight, exercise moderately, and take medicines consistently.",43
What are the primary goals of ongoing chronic disease monitoring?,chronic_disease,primary_care,general,,"Keep progress visible, prevent emergencies, and make long-term treatment safer.",44
How often do many people need chronic disease check-ins?,chronic_disease,home,general,,Every few months or sooner if symptoms worsen.,45
What specific complications must be reviewed for patients with diabetes?,chronic_disease,primary_care,adult,,"Kidney, eye, and foot health.",46
What are potential symptoms of elevated blood pressure?,chronic_disease,home,adult,,"Headaches, dizziness, nosebleeds, or feeling of pressure.",47
What are early warning signs of a worsening asthma attack?,chronic_disease,home,general,,"Coughing more, needing reliever treatment frequently, or waking at night.",48
What general medical danger signs indicate a patient needs urgent assessment?,emergency_triage,hospital,general,,"Altered consciousness, severe breathing problems, severe bleeding, or shock.",49
What signs indicate severe dehydration in infants and children?,emergency_triage,home,infant,,"Sunken fontanelle, poor feeding, few wet diapers, and dry lips.",50
What immediate safety actions should be taken during a seizure?,emergency_triage,home,general,,"Move away from danger, place on side, and avoid holding down.",51
When is breathing difficulty considered a life-threatening medical emergency?,emergency_triage,hospital,general,,"When associated with blue lips, severe distress, or fainting.",52
Why must even a mild fever in infants under three months be assessed promptly?,emergency_triage,primary_care,infant,,They can become ill quickly and may not show clear symptoms.,53
What are the most critical times for handwashing with soap and water?,infectious_disease,home,general,,"After toilet use, before eating, and after handling waste.",54
What signs indicate moderate or severe dehydration from diarrhoeal illness?,infectious_disease,home,infant,,"Dizziness, confusion, sunken eyes, and cold hands and feet.",55
What primary protective measures prevent mosquito-borne malaria transmission?,infectious_disease,home,general,,Sleeping under insecticide-treated bed nets and using mosquito repellents.,56
Why is early testing important for HIV and sexually transmitted infections?,infectious_disease,primary_care,general,,Treatment can improve long-term health and lower transmission risk.,57
What are the key danger signs of severe malaria requiring urgent medical care?,infectious_disease,hospital,general,,"Difficulty breathing, seizures, severe weakness, and confusion.",58
What key danger signs during pregnancy require urgent medical attention?,maternal_health,primary_care,pregnant,,"Severe bleeding, severe headache, visual changes, or severe abdominal pain.",59
Why is early and routine antenatal care important during pregnancy?,maternal_health,primary_care,pregnant,,"Monitor health, detect complications early, and ensure safe delivery.",60
What symptoms during pregnancy may signal hypertensive complications like pre-eclampsia?,maternal_health,home,pregnant,,"Severe headache, visual disturbances, and swelling of the face or hands.",61
What routine screenings are typically included in early antenatal care visits?,maternal_health,primary_care,pregnant,,"Blood tests, blood pressure checks, and infection screenings.",62
When should a pregnant individual seek immediate emergency hospital care?,maternal_health,hospital,pregnant,,"In case of vaginal bleeding, reduced fetal movement, or sudden severe pain.",63
What is the primary rule regarding stopping prescription antihypertensives?,medication_safety,home,general,,No—never stop antihypertensives abruptly without clinician review.,64
What core safety guidelines apply to dosing and avoiding medication errors?,medication_safety,home,general,,"Weight-based dosing, avoid duplicate products, do not exceed label maximum.",65
Why should patients avoid requesting antibiotics for viral respiratory infections?,medication_safety,primary_care,general,,Misuse contributes to antibiotic resistance and lacks medical benefit.,66
What precaution should be taken when using over-the-counter medicines?,medication_safety,home,general,,"Check instructions carefully, avoid guessing doses, and consult professionals.",67
When must prescribed emergency medication like epinephrine auto-injectors be used?,medication_safety,hospital,general,,According to the person’s emergency plan and trained instructions.,68
What foundational self-care strategies support emotional wellbeing and mental health?,mental_health_basics,home,general,,"Consistent sleep routines, balanced nutrition, regular physical activity, and social connection.",69
"What early signs and symptoms indicate a person may be experiencing heightened stress, anxiety, or depression?",mental_health_basics,primary_care,general,,"Persistent low mood, excessive worry, sleep disturbances, fatigue, and loss of interest in activities.",70
When should an individual seek professional mental health support or counselling?,mental_health_basics,primary_care,general,,"When emotional distress persists, interferes with daily functioning, or becomes overwhelming.",71
What are the critical warning signs of a mental health crisis requiring immediate emergency intervention?,mental_health_basics,hospital,general,,"Expressions of suicidal intent, self-harm thoughts, severe disorientation, or acute panic.",72
How can community support and reducing stigma improve mental health outcomes?,mental_health_basics,community,general,,"By encouraging open dialogue, reducing social isolation, and facilitating early help-seeking.",73
What are the core components of a balanced and nutritious diet?,nutrition,home,general,,"Whole grains, lean proteins, healthy fats, and plenty of fruits and vegetables.",74
What is recommended for infant feeding support during early development?,nutrition,primary_care,infant,,"Exclusive breastfeeding support when appropriate, followed by safe complementary foods.",75
Why is proper hydration and safe drinking water essential for health?,nutrition,home,general,,"It prevents dehydration, supports bodily functions, and prevents waterborne illness.",76
How can poor nutritional status impact susceptibility to infectious and chronic illnesses?,nutrition,primary_care,general,,It weakens immune function and increases vulnerability to severe complications.,77
What safe food handling practices reduce the risk of foodborne illness?,nutrition,home,general,,"Keeping raw and cooked foods separate, cooking thoroughly, and maintaining clean surfaces.",78
What is the primary role of vaccination in public health and disease prevention?,vaccination,primary_care,general,,To protect individuals and communities by stimulating immunity against vaccine-preventable diseases.,79
Why are routine childhood immunization schedules important during early development?,vaccination,primary_care,infant,,They provide timely protection against severe infections during vulnerable early life stages.,80
What guidance applies to vaccination recommendations for pregnant individuals?,vaccination,primary_care,pregnant,,Pregnant people should follow local guidance and receive recommended vaccines such as influenza or tetanus.,81
How does community-wide vaccination coverage contribute to herd immunity?,vaccination,primary_care,general,,It reduces overall disease transmission and protects vulnerable populations who cannot be vaccinated.,82
When should an individual seek clinical guidance regarding vaccination safety and contraindications?,vaccination,primary_care,general,,"Prior to vaccination, especially if they have allergies, chronic health conditions, or past adverse reactions.",83
